iter	Logloss
0	0.613479846
1	0.5417305729
2	0.4737100829
3	0.4083320775
4	0.3660749949
5	0.3330830313
6	0.3038294322
7	0.2752731932
8	0.2520689152
9	0.2264836134
10	0.2110812047
11	0.1942823409
12	0.180361162
13	0.1684671223
14	0.1585629405
15	0.1518826594
16	0.1464060304
17	0.1415389901
18	0.1367052092
19	0.1269704091
20	0.1190752483
21	0.1165286378
22	0.1131383619
23	0.1101711115
24	0.1073041022
25	0.1051594714
26	0.1031922364
27	0.09980190138
28	0.09818183829
29	0.09626179127
30	0.09348303628
31	0.09113069773
32	0.08984954591
33	0.08843121689
34	0.08632768206
35	0.08511930828
36	0.08464353526
37	0.08382426722
38	0.08197338053
39	0.08052430099
40	0.07966834327
41	0.07936754116
42	0.07865325074
43	0.07778307356
44	0.07764012479
45	0.07660099964
46	0.07592025435
47	0.07534249053
48	0.07475361237
49	0.07378234143
50	0.07318867251
51	0.07286904254
52	0.07235349937
53	0.07181541205
54	0.07115059158
55	0.07090434097
56	0.0698256921
57	0.06939669792
58	0.06900039126
59	0.06860042254
60	0.06843453533
61	0.0680699403
62	0.0678614144
63	0.0677350854
64	0.06723200213
65	0.06695809132
66	0.06685745594
67	0.06657660051
68	0.06639057932
69	0.06592176077
70	0.06570094748
71	0.06548249999
72	0.06533262631
73	0.06516471831
74	0.06504063189
75	0.06490892562
76	0.06471021288
77	0.06454293082
78	0.06439678822
79	0.06429019889
80	0.06409170302
81	0.06399766231
82	0.0637750303
83	0.06367946168
84	0.06349442624
85	0.06340928688
86	0.06326717599
87	0.06317180452
88	0.06302026492
89	0.0628647281
90	0.0626765974
91	0.06257585359
92	0.06247826911
93	0.0623886495
94	0.06216925076
95	0.06200429015
96	0.06194566257
97	0.06186569347
98	0.0617853005
99	0.06166888816
100	0.06159707615
101	0.06152607739
102	0.06145021887
103	0.06135335399
104	0.06128472596
105	0.06119876349
106	0.06113720823
107	0.06107115794
108	0.06100983433
109	0.06096775259
110	0.0608823865
111	0.06077121343
112	0.0605847733
113	0.06052269066
